id,pair,side,entry,exit,lot,margin,pnl,exit_reason,entry_date,exit_date,duration_bars,leverage
d22945d1,EURUSD,buy,1.0866,1.08812,0.92,199.9142,109.9338,tp,2023-01-27,2023-01-30,1,500
7907c1fb,USDCAD,sell,1.33057,1.3319,0.75,199.605,-129.7482,sl,2023-01-27,2023-01-30,1,500
555dce2c,AUDUSD,buy,0.70605,0.70534,1.41,199.0864,-129.4012,sl,2023-01-30,2023-01-31,1,500
eb446ab8,GBPUSD,buy,1.23512,1.23685,0.81,200.07,110.0195,tp,2023-01-30,2023-01-31,1,500
a766ae9b,EURUSD,buy,1.08491,1.08643,0.92,199.6032,109.7628,tp,2023-01-30,2023-01-31,1,500
bd86c2b2,USDCAD,sell,1.33847,1.33659,0.75,200.79,110.4536,tp,2023-01-30,2023-01-31,1,500
cdcf677c,AUDUSD,buy,0.70549,0.70648,1.44,203.161,111.7192,tp,2023-01-31,2023-02-01,1,500
3394abde,USDCAD,sell,1.33038,1.32851,0.77,204.8985,112.7137,tp,2023-01-31,2023-02-01,1,500
178496f3,EURUSD,buy,1.08637,1.08789,0.94,204.2169,112.2999,tp,2023-01-31,2023-02-01,1,500
90f6f08a,GBPUSD,buy,1.23211,1.23384,0.83,204.5103,112.4613,tp,2023-01-31,2023-02-01,1,500
fae54dcd,USDJPY,buy,128.93589,129.11636,0.01,257.846,141.7908,tp,2023-02-01,2023-02-02,1,500
023f5ae7,USDCAD,sell,1.32877,1.32691,0.8,212.624,116.9634,tp,2023-02-01,2023-02-02,1,500
8041426b,AUDUSD,buy,0.70767,0.70696,1.54,217.9408,-141.6561,sl,2023-02-02,2023-02-03,1,500
6cfa427a,EURUSD,buy,1.09103,1.09256,1.0,218.184,119.9805,tp,2023-02-02,2023-02-03,1,500
f7dde01b,USDCAD,sell,1.3313,1.33263,0.82,218.3545,-141.9359,sl,2023-02-02,2023-02-03,1,500
c4e1f2cc,USDJPY,buy,131.36013,131.544,0.01,262.694,144.4567,tp,2023-02-10,2023-02-13,1,500
5d4464ac,USDCAD,buy,1.33433,1.3362,0.8,213.472,117.3893,tp,2023-02-10,2023-02-13,1,500
ab5632b9,USDJPY,buy,132.41324,132.59858,0.01,264.8,145.6148,tp,2023-02-13,2023-02-14,1,500
21bcf74f,USDJPY,buy,133.17132,133.35772,0.01,266.316,146.4485,tp,2023-02-14,2023-02-15,1,500
837f64b3,USDCAD,buy,1.33367,1.33554,0.83,221.3676,121.7312,tp,2023-02-14,2023-02-15,1,500
b66b4899,USDJPY,buy,133.94539,134.13288,0.01,267.864,147.2998,tp,2023-02-16,2023-02-17,1,500
215afb95,USDJPY,buy,134.12741,134.31515,0.01,268.228,147.4999,tp,2023-02-17,2023-02-20,1,500
