date,equity,cash,open_trades
2023-01-27,9580.504882000007,9600.48084,2
2023-01-30,9140.658518029823,9180.635996029814,4
2023-01-31,9323.39420928483,9364.233545284824,4
2023-02-01,10136.22079726904,10159.744297269039,2
2023-02-02,10201.765215179084,10234.489181179075,3
2023-02-03,10725.357005356109,10725.357005356109,0
2023-02-06,10725.357005356109,10725.357005356109,0
2023-02-07,10725.357005356109,10725.357005356109,0
2023-02-08,10725.357005356109,10725.357005356109,0
2023-02-09,10725.357005356109,10725.357005356109,0
2023-02-10,10225.38270535611,10249.19100535611,2
2023-02-13,10709.163069586151,10722.403069586147,1
2023-02-14,10620.750091586178,10645.134273586158,2
2023-02-15,11400.997585640405,11400.997585640405,0
2023-02-16,11119.740385640409,11133.133585640406,1
2023-02-17,11023.941618560433,11048.910938560422,2
2023-02-20,11574.961876948455,11586.771136948448,1
2023-02-21,11702.448895354466,11714.372079354467,1
2023-02-22,11577.197841404073,11601.331917404077,2
2023-02-23,11829.392478148498,11854.161128148484,2
2023-02-24,12356.229678583526,12368.88713858352,1
2023-02-27,11957.517447757531,11995.792447757525,3
2023-02-28,12627.091187501535,12653.531687501532,2
2023-03-01,12326.804630051554,12366.288300051536,3
2023-03-02,12448.613096598587,12502.979472598605,4
2023-03-03,12093.671939570648,12146.820527570655,4
2023-03-06,12626.90864079071,12667.43372779069,3
2023-03-07,13338.171930845461,13366.053532845459,2
2023-03-08,13633.166559889265,13661.60796988926,2
2023-03-09,12993.306738184261,13034.610399184274,3
2023-03-10,13650.413115873782,13650.413115873782,0
2023-03-13,13077.993036873773,13105.251135873781,2
2023-03-14,13050.588193343292,13077.896269343279,2
2023-03-15,13339.560041707698,13367.411778707708,2
2023-03-16,13312.929569209393,13340.690062209407,2
2023-03-17,13867.562728317316,13867.562728317316,0
2023-03-20,13867.562728317316,13867.562728317316,0
2023-03-21,13867.562728317316,13867.562728317316,0
2023-03-22,13576.443088317312,13590.305928317317,1
2023-03-23,13432.435259921336,13460.415848921324,2
2023-03-24,13081.707166215878,13109.068442215852,2
2023-03-27,13370.685570791527,13398.615591791518,2
2023-03-28,13388.67914775166,13430.379815751645,3
2023-03-29,13525.030094242506,13567.12570924249,3
2023-03-30,13969.919629034044,14012.878705034036,3
2023-03-31,14393.853810649654,14423.965029649664,2
2023-04-03,14711.276201333583,14742.04188733357,2
2023-04-04,15090.163278530183,15118.999298530187,2
2023-04-05,14706.822976060179,14751.117477060187,3
2023-04-06,15445.366338288299,15477.692356288293,2
2023-04-07,15045.812887297292,15077.154685297275,2
2023-04-10,14684.30269511952,14731.334765119505,3
2023-04-11,15171.703375246518,15220.160315246532,3
2023-04-12,15670.16953998855,15720.270741988552,3
2023-04-13,16910.427723927212,16927.710981927197,1
2023-04-14,16448.056221737035,16496.408741737006,3
2023-04-17,16555.763705605095,16604.340213605094,3
2023-04-18,16688.879811104944,16756.561074104953,4
2023-04-19,17703.73008501367,17717.190185013675,1
2023-04-20,17470.54946082367,17502.162710823657,2
2023-04-21,17763.947263398695,17777.356863398683,1
2023-04-24,17528.56032015873,17560.201685158707,2
2023-04-25,17870.54092156521,17902.468681565213,2
2023-04-26,17510.914312109206,17561.4097821092,3
2023-04-27,17222.969151006255,17292.418059006257,4
2023-04-28,19037.239793731507,19056.676721731492,1
2023-05-01,18789.165559267516,18808.382699267528,1
2023-05-02,18258.879054697536,18291.45115069754,2
2023-05-03,18178.59165245996,18216.44794045995,2
2023-05-04,18295.028444627995,18347.16961062798,3
2023-05-05,18397.377581396628,18449.831187396616,3
2023-05-08,18949.84707385328,19003.467093853284,3
