cycle,timestamp,cash,equity,open_trades,realised_pnl
1,2026-03-20 11:32:22,9485.2464,10000.0,2,0.0
2,2026-03-20 11:34:30,9887.7789,10411.8029,2,411.8029
3,2026-03-20 11:35:30,10300.0453,10831.0221,2,831.0221
4,2026-03-20 11:36:30,10715.5563,11255.8035,2,1255.8035
5,2026-03-20 11:37:30,11138.4837,11688.0013,2,1688.0013
6,2026-03-20 11:38:30,11568.8274,12127.6154,2,2127.6154
7,2026-03-20 11:39:30,12006.5874,12574.6458,2,2574.6458
8,2026-03-20 11:40:30,12454.0813,13029.0925,2,3029.0925
9,2026-03-20 11:41:30,12904.8198,13489.1014,2,3489.1014
10,2026-03-20 11:42:31,13362.9747,13956.5267,2,3956.5267
11,2026-03-20 11:43:31,13826.2283,14431.3683,2,4431.3683
12,2026-03-20 11:44:31,14301.0699,14915.4803,2,4915.4803
13,2026-03-20 11:45:31,14783.3278,15407.0086,2,5407.0086
14,2026-03-20 11:46:31,15273.0021,15905.9533,2,5905.9533
15,2026-03-20 11:47:31,15767.775,16412.3142,2,6412.3142
16,2026-03-20 11:48:31,16274.136,16927.9456,2,6927.9456
17,2026-03-20 11:49:31,16785.5957,17450.9933,2,7450.9933
18,2026-03-20 11:50:31,17308.6434,17983.3114,2,7983.3114
19,2026-03-20 11:51:31,17836.7898,18523.0458,2,8523.0458
20,2026-03-20 11:52:31,18374.2066,19072.0506,2,9072.0506
