date,open,high,low,close
2025-10-31,0.6554,0.656,0.6531,0.6543
2025-11-03,0.6541,0.6562,0.6515,0.6537
2025-11-04,0.6534,0.654,0.6479,0.6489
2025-11-05,0.6489,0.6512,0.6456,0.6503
2025-11-06,0.6504,0.6518,0.6461,0.6477
2025-11-07,0.6477,0.6499,0.6465,0.6491
2025-11-10,0.6486,0.654,0.6486,0.6535
2025-11-11,0.6535,0.6538,0.6512,0.6525
2025-11-12,0.6526,0.655,0.6513,0.6538
2025-11-13,0.6538,0.658,0.6522,0.6527
2025-11-14,0.6526,0.6551,0.6502,0.6536
2025-11-17,0.6528,0.6537,0.648,0.6492
2025-11-18,0.649,0.6518,0.6463,0.6506
2025-11-19,0.6506,0.6511,0.6449,0.6477
2025-11-20,0.6477,0.6502,0.6434,0.6437
2025-11-21,0.6439,0.646,0.6419,0.6454
2025-11-24,0.645,0.6468,0.6441,0.6463
2025-11-25,0.6459,0.6475,0.6434,0.6467
2025-11-26,0.6467,0.6521,0.6464,0.6515
2025-11-27,0.6514,0.6539,0.6514,0.6533
2025-11-28,0.6532,0.6559,0.6518,0.6547
2025-12-01,0.6544,0.6566,0.653,0.6541
2025-12-02,0.6543,0.657,0.6534,0.6562
2025-12-03,0.6562,0.6602,0.655,0.66
2025-12-04,0.6598,0.6624,0.6595,0.6609
2025-12-05,0.6609,0.6648,0.6603,0.6637
2025-12-08,0.6641,0.6648,0.6613,0.6622
2025-12-09,0.6622,0.6654,0.6608,0.664
2025-12-10,0.664,0.6685,0.6626,0.6673
2025-12-11,0.6674,0.6678,0.6624,0.6662
2025-12-12,0.6663,0.6677,0.6632,0.6652
2025-12-15,0.6648,0.6656,0.663,0.664
2025-12-16,0.664,0.6661,0.6616,0.663
2025-12-17,0.6629,0.6636,0.6598,0.6602
2025-12-18,0.6603,0.663,0.659,0.6611
2025-12-19,0.6612,0.6624,0.6597,0.661
2025-12-22,0.6605,0.666,0.6603,0.6655
2025-12-23,0.6655,0.6702,0.6652,0.67
2025-12-24,0.6699,0.6717,0.6695,0.6704
2025-12-25,0.6707,0.6714,0.6692,0.6702
2025-12-26,0.67,0.6724,0.6695,0.6715
2025-12-29,0.6713,0.6727,0.6681,0.6693
2025-12-30,0.6692,0.6717,0.6686,0.6694
2025-12-31,0.6693,0.6702,0.6658,0.6672
2026-01-01,0.6672,0.6675,0.6666,0.6671
2026-01-02,0.6672,0.6707,0.6665,0.6693
2026-01-05,0.6688,0.6719,0.6661,0.6713
2026-01-06,0.6712,0.6741,0.6701,0.6736
2026-01-07,0.6734,0.6766,0.6714,0.672
2026-01-08,0.672,0.6725,0.668,0.6697
2026-01-09,0.6698,0.6704,0.6661,0.6684
2026-01-12,0.6671,0.6722,0.6671,0.671
2026-01-13,0.6708,0.6725,0.6671,0.668
2026-01-14,0.668,0.6702,0.6672,0.668
2026-01-15,0.6679,0.6709,0.6665,0.6698
2026-01-16,0.6696,0.6709,0.6669,0.668
2026-01-19,0.6686,0.6717,0.6665,0.6713
2026-01-20,0.6712,0.6747,0.6704,0.6735
2026-01-21,0.6735,0.6777,0.6725,0.676
2026-01-22,0.6758,0.6844,0.6751,0.684
2026-01-23,0.6838,0.6898,0.6832,0.6893
2026-01-26,0.6894,0.694,0.6894,0.6915
2026-01-27,0.6911,0.7016,0.6899,0.7011
2026-01-28,0.701,0.7043,0.6975,0.704
2026-01-29,0.7039,0.7094,0.6966,0.7046
2026-01-30,0.7048,0.7055,0.6938,0.6959
2026-02-02,0.6945,0.697,0.6906,0.6947
2026-02-03,0.6946,0.705,0.6941,0.7022
2026-02-04,0.7019,0.7043,0.6967,0.6997
2026-02-05,0.6995,0.7007,0.6924,0.6924
2026-02-06,0.6925,0.7024,0.6895,0.7015
2026-02-09,0.7008,0.7098,0.7004,0.7091
2026-02-10,0.7089,0.7094,0.7062,0.7074
2026-02-11,0.7074,0.7143,0.7062,0.7126
2026-02-12,0.7122,0.7147,0.7074,0.7088
2026-02-13,0.7088,0.7097,0.7041,0.7073
2026-02-16,0.7054,0.7096,0.7053,0.7069
2026-02-17,0.707,0.709,0.7027,0.7084
2026-02-18,0.7085,0.7087,0.7033,0.7041
2026-02-19,0.7041,0.708,0.7023,0.7058
2026-02-20,0.7051,0.7094,0.7013,0.7083
2026-02-23,0.7083,0.7112,0.7044,0.7053
2026-02-24,0.7054,0.7073,0.7024,0.7055
2026-02-25,0.7056,0.7128,0.7055,0.7123
2026-02-26,0.7117,0.7138,0.7066,0.7104
2026-02-27,0.7104,0.7133,0.7085,0.7113
2026-03-02,0.7113,0.7118,0.7029,0.7091
2026-03-03,0.7088,0.7123,0.6942,0.7033
2026-03-04,0.704,0.7084,0.6982,0.7073
2026-03-05,0.7073,0.709,0.6972,0.7006
2026-03-06,0.7005,0.705,0.6975,0.703
2026-03-09,0.6998,0.7078,0.6954,0.7073
2026-03-10,0.7074,0.717,0.7051,0.7119
2026-03-11,0.7119,0.7189,0.7111,0.7151
2026-03-12,0.715,0.716,0.7071,0.7074
2026-03-13,0.7076,0.7092,0.6977,0.698
2026-03-16,0.6993,0.7082,0.698,0.7069
2026-03-17,0.707,0.7118,0.7048,0.7102
2026-03-18,0.7103,0.7123,0.7016,0.7022
2026-03-19,0.7021,0.7108,0.6998,0.7086
