date,open,high,low,close
2025-10-31,1.1565,1.1577,1.152,1.1534
2025-11-03,1.1534,1.1541,1.1504,1.1518
2025-11-04,1.1519,1.1533,1.1472,1.1482
2025-11-05,1.1483,1.1497,1.1468,1.1491
2025-11-06,1.1491,1.1552,1.1489,1.1547
2025-11-07,1.1546,1.1591,1.1528,1.1565
2025-11-10,1.1565,1.1583,1.1538,1.1556
2025-11-11,1.1556,1.1605,1.1546,1.158
2025-11-12,1.158,1.1597,1.1562,1.1592
2025-11-13,1.1592,1.1655,1.1578,1.1631
2025-11-14,1.1638,1.1653,1.1604,1.162
2025-11-17,1.162,1.1624,1.1581,1.159
2025-11-18,1.1591,1.1607,1.157,1.1579
2025-11-19,1.1579,1.1597,1.1517,1.1536
2025-11-20,1.1535,1.1549,1.1506,1.1527
2025-11-21,1.1527,1.1552,1.1488,1.1511
2025-11-24,1.1511,1.155,1.1501,1.152
2025-11-25,1.152,1.1585,1.151,1.1569
2025-11-26,1.1569,1.16,1.1546,1.1594
2025-11-27,1.1595,1.1613,1.1575,1.1595
2025-11-28,1.1595,1.1607,1.1553,1.1595
2025-12-01,1.1595,1.1652,1.1588,1.161
2025-12-02,1.1608,1.1625,1.159,1.1623
2025-12-03,1.1624,1.1677,1.1619,1.167
2025-12-04,1.1668,1.1681,1.164,1.1643
2025-12-05,1.1643,1.1671,1.1627,1.1642
2025-12-08,1.164,1.1671,1.1615,1.1636
2025-12-09,1.1635,1.1657,1.1614,1.1625
2025-12-10,1.1625,1.1699,1.162,1.1694
2025-12-11,1.1692,1.1762,1.1681,1.1738
2025-12-12,1.1737,1.1749,1.1719,1.174
2025-12-15,1.1733,1.1768,1.1724,1.1752
2025-12-16,1.1752,1.1803,1.1734,1.1746
2025-12-17,1.1746,1.1758,1.1702,1.1739
2025-12-18,1.1739,1.1762,1.1712,1.1721
2025-12-19,1.1719,1.1737,1.1702,1.1708
2025-12-22,1.1705,1.1769,1.1703,1.176
2025-12-23,1.1755,1.1801,1.1754,1.1794
2025-12-24,1.1792,1.1807,1.1771,1.1778
2025-12-25,1.1782,1.1785,1.1769,1.1777
2025-12-26,1.1777,1.1796,1.176,1.1771
2025-12-29,1.1764,1.1788,1.1748,1.1772
2025-12-30,1.1767,1.1779,1.1742,1.1746
2025-12-31,1.1745,1.1759,1.1719,1.1745
2026-01-01,1.174,1.1745,1.1739,1.1745
2026-01-02,1.1747,1.1764,1.1712,1.1719
2026-01-05,1.172,1.1728,1.1658,1.172
2026-01-06,1.1721,1.1742,1.1683,1.1687
2026-01-07,1.1686,1.1702,1.1671,1.1673
2026-01-08,1.1673,1.1682,1.1642,1.1658
2026-01-09,1.1658,1.1662,1.1617,1.1637
2026-01-12,1.1629,1.1698,1.162,1.1667
2026-01-13,1.1668,1.1677,1.1633,1.1641
2026-01-14,1.1645,1.1661,1.1634,1.1642
2026-01-15,1.1641,1.1647,1.1592,1.1606
2026-01-16,1.1607,1.1627,1.1583,1.1597
2026-01-19,1.1583,1.1648,1.157,1.1645
2026-01-20,1.1642,1.1768,1.1631,1.1724
2026-01-21,1.1721,1.1742,1.1676,1.1682
2026-01-22,1.1682,1.1756,1.1668,1.1754
2026-01-23,1.1752,1.1833,1.1727,1.1826
2026-01-26,1.1831,1.1906,1.1831,1.1879
2026-01-27,1.1875,1.2078,1.1849,1.2041
2026-01-28,1.2039,1.2044,1.1895,1.1952
2026-01-29,1.1952,1.1996,1.1905,1.1969
2026-01-30,1.197,1.1974,1.1848,1.1848
2026-02-02,1.1852,1.1874,1.1775,1.1789
2026-02-03,1.1789,1.1828,1.1779,1.1818
2026-02-04,1.1818,1.1838,1.1789,1.1806
2026-02-05,1.1806,1.1821,1.1773,1.1775
2026-02-06,1.1777,1.1826,1.1764,1.1816
2026-02-09,1.1816,1.1926,1.1807,1.1913
2026-02-10,1.1912,1.1928,1.1886,1.1894
2026-02-11,1.1893,1.1927,1.1831,1.187
2026-02-12,1.1877,1.1889,1.1851,1.1869
2026-02-13,1.1869,1.1884,1.1845,1.1867
2026-02-16,1.1867,1.1875,1.1845,1.185
2026-02-17,1.185,1.1855,1.1804,1.1853
2026-02-18,1.1853,1.1857,1.1781,1.1782
2026-02-19,1.1782,1.1807,1.1741,1.1772
2026-02-20,1.1772,1.1807,1.1742,1.178
2026-02-23,1.1781,1.1834,1.1774,1.1784
2026-02-24,1.179,1.1796,1.1765,1.1771
2026-02-25,1.1772,1.1814,1.1769,1.1809
2026-02-26,1.1809,1.1828,1.1773,1.1797
2026-02-27,1.1796,1.1826,1.1785,1.1813
2026-03-02,1.1776,1.1795,1.1671,1.1687
2026-03-03,1.1687,1.1706,1.1528,1.1613
2026-03-04,1.1611,1.1654,1.1573,1.1633
2026-03-05,1.1633,1.1647,1.1558,1.1607
2026-03-06,1.1609,1.1621,1.1544,1.1618
2026-03-09,1.1567,1.1637,1.1505,1.1636
2026-03-10,1.1636,1.1667,1.1605,1.161
2026-03-11,1.1611,1.1645,1.1559,1.1566
2026-03-12,1.1567,1.1575,1.1508,1.151
2026-03-13,1.151,1.1529,1.141,1.1416
2026-03-16,1.1412,1.1524,1.141,1.1503
2026-03-17,1.1505,1.1547,1.1465,1.1538
2026-03-18,1.1539,1.1555,1.1448,1.145
2026-03-19,1.1451,1.1616,1.1442,1.1588
