date,open,high,low,close
2025-10-31,1.315,1.3164,1.3094,1.3151
2025-11-03,1.3138,1.3162,1.3106,1.3138
2025-11-04,1.3142,1.3145,1.3007,1.3018
2025-11-05,1.3019,1.3054,1.3007,1.3049
2025-11-06,1.3044,1.3142,1.3042,1.3136
2025-11-07,1.3135,1.3174,1.3092,1.3157
2025-11-10,1.3148,1.3191,1.3133,1.3173
2025-11-11,1.3171,1.3184,1.3113,1.315
2025-11-12,1.3148,1.3157,1.3081,1.313
2025-11-13,1.3125,1.3215,1.3097,1.3189
2025-11-14,1.3187,1.32,1.3105,1.3168
2025-11-17,1.3135,1.3193,1.3132,1.3155
2025-11-18,1.3155,1.3176,1.3131,1.3142
2025-11-19,1.3144,1.3155,1.304,1.3056
2025-11-20,1.3055,1.3123,1.3034,1.307
2025-11-21,1.307,1.3109,1.3036,1.3094
2025-11-24,1.3096,1.3117,1.3077,1.3103
2025-11-25,1.3103,1.3214,1.3092,1.3166
2025-11-26,1.3164,1.3244,1.3121,1.324
2025-11-27,1.3237,1.3268,1.3207,1.3239
2025-11-28,1.3235,1.3254,1.3197,1.3236
2025-12-01,1.3225,1.3275,1.3202,1.3209
2025-12-02,1.3211,1.3221,1.3176,1.3212
2025-12-03,1.3212,1.3354,1.32,1.3352
2025-12-04,1.335,1.3385,1.3319,1.3325
2025-12-05,1.3325,1.3362,1.3313,1.3329
2025-12-08,1.332,1.3346,1.3302,1.3317
2025-12-09,1.3319,1.3356,1.3284,1.3296
2025-12-10,1.3301,1.3388,1.3292,1.3382
2025-12-11,1.338,1.3438,1.3351,1.3386
2025-12-12,1.3386,1.3399,1.3339,1.3368
2025-12-15,1.337,1.3401,1.3353,1.3373
2025-12-16,1.3371,1.3455,1.3352,1.342
2025-12-17,1.3422,1.3426,1.3308,1.3375
2025-12-18,1.3373,1.3446,1.3338,1.3378
2025-12-19,1.3378,1.3393,1.3354,1.3375
2025-12-22,1.3367,1.3477,1.3365,1.3462
2025-12-23,1.3458,1.3523,1.345,1.3516
2025-12-24,1.3496,1.3534,1.3489,1.3502
2025-12-25,1.3502,1.3529,1.3499,1.3523
2025-12-26,1.3516,1.3527,1.3473,1.3495
2025-12-29,1.3477,1.3515,1.3466,1.3508
2025-12-30,1.3505,1.353,1.3447,1.3466
2025-12-31,1.3464,1.3483,1.3399,1.3473
2026-01-01,1.3471,1.3472,1.3471,1.3472
2026-01-02,1.3464,1.3501,1.3431,1.3456
2026-01-05,1.3453,1.3548,1.3411,1.354
2026-01-06,1.354,1.3567,1.3489,1.35
2026-01-07,1.3498,1.3516,1.3453,1.3457
2026-01-08,1.3456,1.3465,1.3412,1.3436
2026-01-09,1.3433,1.345,1.3389,1.3399
2026-01-12,1.3394,1.3485,1.3387,1.3459
2026-01-13,1.3462,1.3494,1.3418,1.3418
2026-01-14,1.3421,1.3464,1.3416,1.3438
2026-01-15,1.3437,1.3446,1.3359,1.3378
2026-01-16,1.3377,1.3413,1.3363,1.3381
2026-01-19,1.3365,1.3434,1.3326,1.3424
2026-01-20,1.3414,1.3491,1.3407,1.3435
2026-01-21,1.3437,1.3458,1.3398,1.3425
2026-01-22,1.3429,1.3506,1.34,1.3497
2026-01-23,1.3492,1.3645,1.3479,1.3641
2026-01-26,1.3628,1.3713,1.3628,1.3677
2026-01-27,1.3681,1.3867,1.366,1.3846
2026-01-28,1.3844,1.3849,1.3747,1.3805
2026-01-29,1.3805,1.3847,1.3739,1.3803
2026-01-30,1.3799,1.3814,1.3676,1.3688
2026-02-02,1.3685,1.3715,1.362,1.3662
2026-02-03,1.3664,1.3707,1.3647,1.3697
2026-02-04,1.3692,1.3733,1.3639,1.365
2026-02-05,1.3647,1.3659,1.3515,1.3525
2026-02-06,1.3535,1.3623,1.3506,1.3609
2026-02-09,1.3609,1.37,1.3583,1.369
2026-02-10,1.369,1.3696,1.3635,1.364
2026-02-11,1.364,1.3712,1.3606,1.3625
2026-02-12,1.3624,1.3671,1.3601,1.362
2026-02-13,1.3618,1.3659,1.3587,1.3648
2026-02-16,1.3648,1.3662,1.3621,1.3625
2026-02-17,1.3626,1.3635,1.3493,1.3567
2026-02-18,1.3556,1.3582,1.3489,1.3491
2026-02-19,1.3502,1.3516,1.3431,1.3462
2026-02-20,1.3462,1.3514,1.3432,1.3482
2026-02-23,1.3495,1.3535,1.3473,1.3489
2026-02-24,1.3492,1.3536,1.3467,1.3487
2026-02-25,1.3487,1.3565,1.3484,1.3556
2026-02-26,1.3556,1.3575,1.3442,1.3481
2026-02-27,1.3479,1.3507,1.3436,1.3484
2026-03-02,1.3484,1.3484,1.3312,1.3405
2026-03-03,1.3404,1.3425,1.325,1.3354
2026-03-04,1.3358,1.3403,1.33,1.3372
2026-03-05,1.3372,1.3387,1.3295,1.3355
2026-03-06,1.3349,1.3413,1.3308,1.3411
2026-03-09,1.3353,1.3446,1.328,1.3435
2026-03-10,1.3429,1.3483,1.3409,1.3416
2026-03-11,1.3417,1.3457,1.339,1.3411
2026-03-12,1.341,1.3412,1.3335,1.3341
2026-03-13,1.3341,1.3369,1.3215,1.3222
2026-03-16,1.3228,1.3339,1.3217,1.3316
2026-03-17,1.3318,1.3364,1.327,1.3354
2026-03-18,1.3354,1.3374,1.3249,1.3254
2026-03-19,1.3256,1.3466,1.3243,1.343
