date,open,high,low,close
2025-10-31,1.3984,1.4035,1.3976,1.401
2025-11-03,1.4003,1.4075,1.4003,1.4055
2025-11-04,1.4055,1.4107,1.4051,1.4103
2025-11-05,1.4101,1.414,1.4096,1.4105
2025-11-06,1.4104,1.414,1.4088,1.4116
2025-11-07,1.4113,1.4126,1.4025,1.4047
2025-11-10,1.4043,1.4049,1.3999,1.4017
2025-11-11,1.4023,1.4041,1.3999,1.4015
2025-11-12,1.4012,1.4022,1.3987,1.4005
2025-11-13,1.4002,1.4037,1.3983,1.4032
2025-11-14,1.4034,1.4045,1.4012,1.402
2025-11-17,1.4026,1.4057,1.401,1.4052
2025-11-18,1.4053,1.4062,1.3969,1.3986
2025-11-19,1.3987,1.4065,1.3981,1.405
2025-11-20,1.4049,1.4107,1.4037,1.4096
2025-11-21,1.4096,1.413,1.4079,1.4101
2025-11-24,1.4095,1.4118,1.4089,1.4104
2025-11-25,1.4107,1.4124,1.4088,1.4096
2025-11-26,1.4097,1.4104,1.4033,1.4042
2025-11-27,1.4041,1.4049,1.4026,1.4029
2025-11-28,1.4029,1.4051,1.3935,1.3973
2025-12-01,1.3974,1.4001,1.3952,1.3995
2025-12-02,1.3998,1.4014,1.3964,1.3967
2025-12-03,1.397,1.3975,1.3936,1.395
2025-12-04,1.3948,1.3977,1.3923,1.3956
2025-12-05,1.3956,1.396,1.3813,1.3815
2025-12-08,1.3817,1.3859,1.3797,1.3854
2025-12-09,1.3856,1.386,1.3821,1.3846
2025-12-10,1.3847,1.3871,1.3781,1.3793
2025-12-11,1.3792,1.3823,1.3754,1.3769
2025-12-12,1.3772,1.3794,1.3751,1.3769
2025-12-15,1.376,1.3788,1.3746,1.3765
2025-12-16,1.3771,1.3781,1.3728,1.3754
2025-12-17,1.3754,1.3798,1.375,1.3784
2025-12-18,1.3783,1.3796,1.3753,1.3773
2025-12-19,1.3777,1.3805,1.3753,1.3801
2025-12-22,1.3795,1.3804,1.3733,1.3747
2025-12-23,1.3746,1.3753,1.3683,1.3686
2025-12-24,1.3686,1.3694,1.3662,1.3675
2025-12-25,1.367,1.3682,1.3665,1.368
2025-12-26,1.368,1.3685,1.364,1.3671
2025-12-29,1.3665,1.3701,1.3655,1.369
2025-12-30,1.369,1.3708,1.3676,1.3696
2025-12-31,1.3691,1.3728,1.3685,1.3724
2026-01-01,1.3724,1.3724,1.3724,1.3724
2026-01-02,1.372,1.3747,1.3698,1.3726
2026-01-05,1.373,1.3815,1.3729,1.3769
2026-01-06,1.3769,1.3816,1.3749,1.3814
2026-01-07,1.3812,1.3861,1.3788,1.3861
2026-01-08,1.3859,1.3888,1.3848,1.3861
2026-01-09,1.3862,1.392,1.3859,1.3913
2026-01-12,1.3909,1.3917,1.3865,1.3875
2026-01-13,1.3872,1.3898,1.3854,1.3887
2026-01-14,1.3885,1.3898,1.3864,1.3878
2026-01-15,1.3878,1.3919,1.3875,1.3891
2026-01-16,1.3887,1.3928,1.3882,1.3915
2026-01-19,1.3908,1.3918,1.3857,1.3865
2026-01-20,1.3865,1.3878,1.3812,1.3835
2026-01-21,1.3831,1.3842,1.3783,1.3833
2026-01-22,1.3832,1.3844,1.378,1.3785
2026-01-23,1.3783,1.3799,1.3691,1.37
2026-01-26,1.3697,1.3719,1.3669,1.3706
2026-01-27,1.3702,1.3739,1.3556,1.3574
2026-01-28,1.358,1.3614,1.3534,1.3555
2026-01-29,1.3553,1.3577,1.3482,1.3489
2026-01-30,1.3491,1.3623,1.3479,1.3613
2026-02-02,1.3585,1.3702,1.3585,1.368
2026-02-03,1.3679,1.3685,1.3631,1.364
2026-02-04,1.3638,1.3684,1.3627,1.3663
2026-02-05,1.3658,1.3711,1.3649,1.371
2026-02-06,1.3709,1.3724,1.3622,1.3679
2026-02-09,1.3638,1.3679,1.355,1.3554
2026-02-10,1.3554,1.3576,1.3521,1.355
2026-02-11,1.355,1.3618,1.3501,1.3574
2026-02-12,1.3569,1.3635,1.3552,1.3607
2026-02-13,1.3608,1.3637,1.3591,1.3617
2026-02-16,1.3614,1.3638,1.3601,1.3634
2026-02-17,1.3631,1.3692,1.3628,1.3635
2026-02-18,1.3634,1.37,1.3629,1.3695
2026-02-19,1.3694,1.3714,1.3666,1.3679
2026-02-20,1.3678,1.371,1.3668,1.3678
2026-02-23,1.368,1.3704,1.3646,1.3694
2026-02-24,1.3696,1.3724,1.3689,1.3699
2026-02-25,1.37,1.3706,1.367,1.3674
2026-02-26,1.3678,1.3712,1.3657,1.3678
2026-02-27,1.3675,1.3684,1.3622,1.3642
2026-03-02,1.3646,1.3718,1.3636,1.3676
2026-03-03,1.3676,1.3752,1.3651,1.3677
2026-03-04,1.3674,1.37,1.3624,1.3641
2026-03-05,1.3639,1.3716,1.3613,1.3672
2026-03-06,1.3677,1.3679,1.356,1.3567
2026-03-09,1.3597,1.3606,1.3523,1.3586
2026-03-10,1.3586,1.3601,1.354,1.3579
2026-03-11,1.3578,1.3605,1.3552,1.359
2026-03-12,1.3592,1.3642,1.3574,1.3638
2026-03-13,1.3638,1.3741,1.362,1.3718
2026-03-16,1.3711,1.373,1.365,1.3686
2026-03-17,1.3685,1.3722,1.3677,1.3691
2026-03-18,1.369,1.3737,1.3685,1.3732
2026-03-19,1.3731,1.3748,1.3702,1.3738
