date,open,high,low,close
2025-10-31,154.11,154.41,153.63,154.0
2025-11-03,153.99,154.29,153.92,154.21
2025-11-04,154.21,154.48,153.3,153.67
2025-11-05,153.66,154.35,152.94,154.11
2025-11-06,154.11,154.14,152.81,153.06
2025-11-07,153.06,153.59,152.8,153.4
2025-11-10,153.22,154.25,153.22,154.14
2025-11-11,154.01,154.49,153.64,154.15
2025-11-12,154.13,155.04,154.03,154.77
2025-11-13,154.8,155.01,154.11,154.55
2025-11-14,154.53,154.76,153.59,154.54
2025-11-17,154.4,155.3,154.4,155.24
2025-11-18,155.23,155.73,154.79,155.5
2025-11-19,155.5,157.18,155.19,157.15
2025-11-20,157.15,157.89,156.86,157.46
2025-11-21,157.46,157.54,156.19,156.39
2025-11-24,156.56,157.18,156.25,156.89
2025-11-25,156.88,156.98,155.78,156.04
2025-11-26,156.04,156.73,155.63,156.47
2025-11-27,156.46,156.5,155.69,156.3
2025-11-28,156.28,156.58,155.96,156.15
2025-12-01,156.1,156.2,154.65,155.42
2025-12-02,155.43,156.17,155.41,155.85
2025-12-03,155.85,155.9,154.99,155.24
2025-12-04,155.24,155.54,154.49,155.08
2025-12-05,155.08,155.49,154.32,155.34
2025-12-08,155.16,155.98,154.88,155.92
2025-12-09,155.89,156.95,155.72,156.86
2025-12-10,156.84,156.93,155.78,156.01
2025-12-11,156.01,156.16,154.93,155.57
2025-12-12,155.61,156.12,155.42,155.81
2025-12-15,155.85,155.98,154.81,155.21
2025-12-16,155.19,155.26,154.39,154.71
2025-12-17,154.68,155.75,154.5,155.67
2025-12-18,155.65,155.97,155.26,155.54
2025-12-19,155.5,157.77,155.49,157.75
2025-12-22,157.63,157.74,156.7,157.05
2025-12-23,157.07,157.07,155.63,156.21
2025-12-24,156.26,156.28,155.54,155.93
2025-12-25,155.83,155.96,155.65,155.79
2025-12-26,155.893,156.73,155.73,156.54
2025-12-29,156.41,156.54,155.91,156.04
2025-12-30,155.99,156.56,155.74,156.39
2025-12-31,156.3,156.99,156.3,156.65
2026-01-01,156.66,156.69,156.63,156.66
2026-01-02,156.66,157.0,156.51,156.81
2026-01-05,156.7,157.29,156.09,156.38
2026-01-06,156.35,156.79,156.14,156.62
2026-01-07,156.63,156.8,156.28,156.76
2026-01-08,156.76,157.07,156.44,156.87
2026-01-09,156.87,158.18,156.8,157.88
2026-01-12,158.0,158.2,157.52,158.15
2026-01-13,158.15,159.19,157.89,159.12
2026-01-14,159.13,159.45,158.08,158.43
2026-01-15,158.39,158.87,158.18,158.64
2026-01-16,158.63,158.7,157.82,158.09
2026-01-19,157.85,158.16,157.4,158.1
2026-01-20,158.08,158.6,157.46,158.15
2026-01-21,158.16,158.53,157.73,158.25
2026-01-22,158.27,158.89,158.16,158.4
2026-01-23,158.38,159.22,155.62,155.71
2026-01-26,155.07,155.34,153.3,154.15
2026-01-27,154.14,154.87,152.08,152.19
2026-01-28,152.15,154.05,152.15,153.4
2026-01-29,153.38,153.53,152.67,153.09
2026-01-30,153.05,154.79,152.86,154.76
2026-02-02,154.72,155.78,154.53,155.6
2026-02-03,155.62,156.08,155.28,155.73
2026-02-04,155.72,156.94,155.67,156.85
2026-02-05,156.82,157.33,156.51,157.03
2026-02-06,157.03,157.27,156.5,157.2
2026-02-09,157.2,157.72,155.5,155.86
2026-02-10,155.83,156.29,154.03,154.38
2026-02-11,154.38,154.65,152.54,153.24
2026-02-12,153.24,153.75,152.25,152.73
2026-02-13,152.72,153.66,152.57,152.68
2026-02-16,152.64,153.63,152.52,153.51
2026-02-17,153.51,153.92,152.69,153.28
2026-02-18,153.29,154.87,153.05,154.82
2026-02-19,154.78,155.34,154.53,154.98
2026-02-20,155.03,155.64,154.7,155.05
2026-02-23,154.92,155.04,153.98,154.62
2026-02-24,154.63,156.28,154.5,155.88
2026-02-25,155.88,156.82,155.33,156.33
2026-02-26,156.33,156.43,155.7,156.11
2026-02-27,156.11,156.23,155.51,156.05
2026-03-02,155.64,157.75,155.64,157.34
2026-03-03,157.39,157.96,157.13,157.71
2026-03-04,157.47,157.86,156.84,157.03
2026-03-05,157.05,157.85,156.43,157.57
2026-03-06,157.52,158.08,157.37,157.79
2026-03-09,157.78,158.89,157.62,157.64
2026-03-10,157.66,158.12,157.25,158.04
2026-03-11,158.04,158.97,157.84,158.94
2026-03-12,158.94,159.43,158.55,159.33
2026-03-13,159.33,159.74,158.98,159.71
2026-03-16,159.57,159.74,158.83,159.06
2026-03-17,159.09,159.49,158.7,158.98
2026-03-18,159.03,159.9,158.55,159.86
2026-03-19,159.85,159.86,157.49,157.72
