2026-03-20 16:58:55 | INFO     | backtest.engine | Trade log  → logs/trades\backtest_20260320_165855.jsonl
2026-03-20 16:58:55 | INFO     | backtest.engine | Building feature sets ...
2026-03-20 16:58:55 | INFO     | backtest.engine |   EURUSD: 503 bars
2026-03-20 16:58:55 | INFO     | backtest.engine |   GBPUSD: 503 bars
2026-03-20 16:58:55 | INFO     | backtest.engine |   USDJPY: 503 bars
2026-03-20 16:58:55 | INFO     | backtest.engine |   AUDUSD: 503 bars
2026-03-20 16:58:55 | INFO     | backtest.engine |   USDCAD: 503 bars
2026-03-20 16:58:55 | INFO     | backtest.engine | Date range: 2023-01-27 → 2024-12-31 (503 bars)
2026-03-20 16:58:55 | INFO     | backtest.engine | ==========================================================
2026-03-20 16:58:55 | INFO     | backtest.engine |   BACKTEST STARTING
2026-03-20 16:58:55 | INFO     | backtest.engine | ==========================================================
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08660  TP=1.08823  SL=1.08562 | Lot=0.92  Margin=$199.91
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33057  TP=1.32857  SL=1.33176 | Lot=0.75  Margin=$199.60
2026-03-20 16:58:55 | INFO     | backtest.engine |   Bar    0 | 2023-01-27 | Equity=$9,580.50 | Open=2
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] BUY  | Entry=0.70605  TP=0.70711  SL=0.70542 | Lot=1.41  Margin=$199.09
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23512  TP=1.23698  SL=1.23401 | Lot=0.81  Margin=$200.07
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08491  TP=1.08654  SL=1.08393 | Lot=0.92  Margin=$199.60
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33847  TP=1.33646  SL=1.33967 | Lot=0.75  Margin=$200.79
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] BUY  | Entry=0.70549  TP=0.70655  SL=0.70486 | Lot=1.44  Margin=$203.16
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33038  TP=1.32838  SL=1.33157 | Lot=0.77  Margin=$204.90
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08637  TP=1.08800  SL=1.08539 | Lot=0.94  Margin=$204.22
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23211  TP=1.23396  SL=1.23100 | Lot=0.83  Margin=$204.51
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=128.93589  TP=129.12928  SL=128.81986 | Lot=0.01  Margin=$257.85
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.32877  TP=1.32677  SL=1.32996 | Lot=0.8  Margin=$212.62
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] BUY  | Entry=0.70767  TP=0.70873  SL=0.70703 | Lot=1.54  Margin=$217.94
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09103  TP=1.09267  SL=1.09005 | Lot=1.0  Margin=$218.18
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33130  TP=1.32930  SL=1.33250 | Lot=0.82  Margin=$218.35
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=131.36013  TP=131.55716  SL=131.24192 | Lot=0.01  Margin=$262.69
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.33433  TP=1.33633  SL=1.33313 | Lot=0.8  Margin=$213.47
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=132.41324  TP=132.61184  SL=132.29408 | Lot=0.01  Margin=$264.80
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.17132  TP=133.37105  SL=133.05147 | Lot=0.01  Margin=$266.32
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.33367  TP=1.33567  SL=1.33247 | Lot=0.83  Margin=$221.37
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.94539  TP=134.14629  SL=133.82485 | Lot=0.01  Margin=$267.86
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.12741  TP=134.32858  SL=134.00671 | Lot=0.01  Margin=$268.23
